Timestamp,,Sensor1,Sensor2,,,,
18:50:51,1.744,16,4,,,,
18:50:51,1.752,1,1,,,,
18:50:51,1.76,36,0,,,,
18:50:51,1.768,49,25,,,,
18:50:51,1.776,1,36,,,,
18:50:51,1.784,25,16,,,,
18:50:51,1.792,25,0,,,,
18:50:51,1.8,9,9,,,,
18:50:51,1.808,0,36,,,,
18:50:51,1.816,1,1,,,,
18:50:51,1.824,36,25,,,,
18:50:51,1.832,100,25,,,,
18:50:51,1.84,25,0,,,,
18:50:51,1.848,289,25,,,,
18:50:51,1.856,256,16,,,,
18:50:51,1.864,16,0,,,,
18:50:51,1.872,121,0,,,,
18:50:51,1.88,676,1,,,,
18:50:51,1.888,729,49,,,,
18:50:51,1.896,64,16,,,,
18:50:51,1.904,100,16,,,,
18:50:51,1.912,729,16,,,,
18:50:51,1.92,441,25,,,,
18:50:51,1.928,196,4,,,,
18:50:51,1.936,1024,16,,,,0.008
18:50:51,1.944,400,16,,,,
18:50:51,1.952,9,1,,,,
18:50:51,1.96,81,1,,,,
18:50:51,1.968,64,4,,,,
18:50:51,1.976,0,0,,,,
18:50:51,1.984,9,4,,,,
18:50:51,1.992,9,0,,,,
18:50:52,2,4,0,,,,
18:50:52,2.008,4,1,,,,
18:50:52,2.016,1,1,,,,
18:50:52,2.024,64,9,,,,
18:50:52,2.032,225,0,,,,
18:50:52,2.04,121,4,,,,
18:50:52,2.048,9,0,,,,
18:50:52,2.056,100,0,,,,
18:50:52,2.064,100,1,,,,
18:50:52,2.072,1,1,,,,
18:50:52,2.08,1,0,,,,
18:50:52,2.088,4,0,,,,
18:50:52,2.096,64,4,,,,
18:50:52,2.104,100,16,,,,
18:50:52,2.112,4,1,,,,
18:50:52,2.12,4,0,,,,
18:50:52,2.128,144,0,,,,
18:50:52,2.136,64,0,,,,
18:50:52,2.144,25,16,,,,
18:50:52,2.152,36,9,,,,
18:50:52,2.16,1,0,,,,
18:50:52,2.168,100,4,,,,
18:50:52,2.176,0,1,,,,
18:50:52,2.184,25,9,,,,
18:50:52,2.192,9,4,,,,
18:50:52,2.2,49,9,,,,
18:50:52,2.208,100,9,,,,
18:50:52,2.216,4,4,,,,
18:50:52,2.224,256,9,,,,
18:50:52,2.232,81,25,,,,
18:50:52,2.24,16,0,,,,
18:50:52,2.248,100,1,,,,
18:50:52,2.256,16,0,,,,
18:50:52,2.264,361,4,,,,
18:50:52,2.272,400,9,,,,
18:50:52,2.28,196,16,,,,
18:50:52,2.288,9,4,,,,
18:50:52,2.296,1,1,,,,
18:50:52,2.304,36,0,,,,
18:50:52,2.312,36,1,,,,
18:50:52,2.32,9,1,,,,
18:50:52,2.328,49,0,,,,
18:50:52,2.336,121,0,,,,
18:50:52,2.344,25,4,,,,
18:50:52,2.352,0,4,,,,
18:50:52,2.36,1,1,,,,
18:50:52,2.368,9,16,,,,
18:50:52,2.376,1,16,,,,
18:50:52,2.384,0,1,,,,
18:50:52,2.392,4,0,,,,
18:50:52,2.4,49,9,,,,
18:50:52,2.408,36,25,,,,
18:50:52,2.416,0,9,,,,
18:50:52,2.424,9,0,,,,
18:50:52,2.432,1,0,,,,
18:50:52,2.44,36,0,,,,
18:50:52,2.448,9,0,,,,
18:50:52,2.456,9,0,,,,
18:50:52,2.464,169,1,,,,
18:50:52,2.472,169,4,,,,
18:50:52,2.48,36,0,,,,
18:50:52,2.488,16,16,,,,
18:50:52,2.496,49,25,,,,
18:50:52,2.504,225,4,,,,
18:50:52,2.512,169,0,,,,
18:50:52,2.52,900,25,,,,
18:50:52,2.528,2500,81,,,,
18:50:52,2.536,625,36,,,,
18:50:52,2.544,100,100,,,,
18:50:52,2.552,9,289,,,,
18:50:52,2.56,1369,9,,,,
18:50:52,2.568,289,16,,,,
18:50:52,2.576,36,0,,,,
18:50:52,2.584,1,1,,,,
18:50:52,2.592,36,9,,,,
18:50:52,2.6,400,36,,,,
18:50:52,2.608,784,64,,,,
18:50:52,2.616,625,144,,,,
18:50:52,2.624,64,1,,,,
18:50:52,2.632,16,36,,,,
18:50:52,2.64,289,0,,,,
18:50:52,2.648,196,16,,,,
18:50:52,2.656,9,0,,,,
18:50:52,2.664,0,4,,,,
18:50:52,2.672,361,4,,,,
18:50:52,2.68,625,144,,,,
18:50:52,2.688,49,169,,,,
18:50:52,2.696,1,9,,,,
18:50:52,2.704,36,121,,,,
18:50:52,2.712,100,256,,,,
18:50:52,2.72,100,81,,,,
18:50:52,2.728,9,4,,,,
18:50:52,2.736,49,1,,,,
18:50:52,2.744,9,1,,,,
18:50:52,2.752,81,16,,,,
18:50:52,2.76,324,16,,,,
18:50:52,2.768,361,4,,,,
18:50:52,2.776,256,4,,,,
18:50:52,2.784,324,9,,,,
18:50:52,2.792,256,4,,,,
18:50:52,2.8,676,1,,,,
18:50:52,2.808,625,1,,,,
18:50:52,2.816,100,1,,,,
18:50:52,2.824,9,0,,,,
18:50:52,2.832,49,1,,,,
18:50:52,2.84,81,1,,,,
18:50:52,2.848,16,9,,,,
18:50:52,2.856,4,9,,,,
18:50:52,2.864,36,9,,,,
18:50:52,2.872,25,100,,,,
18:50:52,2.88,9,9,,,,
18:50:52,2.888,144,169,,,,
18:50:52,2.896,225,256,,,,
18:50:52,2.904,0,121,,,,
18:50:52,2.912,81,36,,,,
18:50:52,2.92,1,16,,,,
18:50:52,2.928,225,1,,,,
18:50:52,2.936,36,121,,,,
18:50:52,2.944,961,49,,,,
18:50:52,2.952,225,9,,,,
18:50:52,2.96,0,1,,,,
18:50:52,2.968,100,25,,,,
18:50:52,2.976,225,121,,,,
18:50:52,2.984,100,16,,,,
18:50:52,2.992,1,4,,,,
18:50:52,3,16,4,,,,
18:50:52,3.008,0,0,,,,
18:50:52,3.016,289,9,,,,
18:50:53,3.024,441,196,,,,
18:50:53,3.032,196,121,,,,
18:50:53,3.04,100,4,,,,
18:50:53,3.048,25,16,,,,
18:50:53,3.056,49,16,,,,
18:50:53,3.064,225,25,,,,
18:50:53,3.072,16,25,,,,
18:50:53,3.08,841,81,,,,
18:50:53,3.088,256,100,,,,
18:50:53,3.096,196,0,,,,
18:50:53,3.104,121,1,,,,
18:50:53,3.112,100,4,,,,
18:50:53,3.12,36,1,,,,
18:50:53,3.128,36,1,,,,
18:50:53,3.136,361,4,,,,
18:50:53,3.144,25,81,,,,
18:50:53,3.152,196,1,,,,
18:50:53,3.16,9,16,,,,
18:50:53,3.168,4,4,,,,
18:50:53,3.176,400,1,,,,
18:50:53,3.184,144,49,,,,
18:50:53,3.192,121,36,,,,
18:50:53,3.2,144,0,,,,
18:50:53,3.208,1,1,,,,
18:50:53,3.216,1,1,,,,
18:50:53,3.224,4,64,,,,
18:50:53,3.232,1,4,,,,
18:50:53,3.24,169,1,,,,
18:50:53,3.248,625,4,,,,
18:50:53,3.256,784,49,,,,
18:50:53,3.264,64,36,,,,
18:50:53,3.272,1,484,,,,
18:50:53,3.28,81,100,,,,
18:50:53,3.288,169,4,,,,
18:50:53,3.296,49,9,,,,
18:50:53,3.304,9,81,,,,
18:50:53,3.312,81,25,,,,
18:50:53,3.32,16,9,,,,
18:50:53,3.328,81,9,,,,
18:50:53,3.336,121,4,,,,
18:50:53,3.344,81,16,,,,
18:50:53,3.352,9,1,,,,
18:50:53,3.36,9,25,,,,
18:50:53,3.368,9,100,,,,
18:50:53,3.376,1,25,,,,
18:50:53,3.384,9,1,,,,
18:50:53,3.392,1,9,,,,
18:50:53,3.4,1,25,,,,
18:50:53,3.408,1156,144,,,,
18:50:53,3.416,3721,361,,,,
18:50:53,3.424,961,169,,,,
18:50:53,3.432,256,49,,,,
18:50:53,3.44,289,64,,,,
18:50:53,3.448,25,1,,,,
18:50:53,3.456,0,1,,,,
18:50:53,3.464,121,0,,,,
18:50:53,3.472,121,36,,,,
18:50:53,3.48,9,25,,,,
18:50:53,3.488,144,16,,,,
18:50:53,3.496,529,0,,,,
18:50:53,3.504,3481,289,,,,
18:50:53,3.512,1156,324,,,,
18:50:53,3.52,9,0,,,,
18:50:53,3.528,121,0,,,,
18:50:53,3.536,16,0,,,,
18:50:53,3.544,1,9,,,,
18:50:53,3.552,64,0,,,,
18:50:53,3.56,4,25,,,,
18:50:53,3.568,0,16,,,,
18:50:53,3.576,81,16,,,,
18:50:53,3.584,81,16,,,,
18:50:53,3.592,25,1,,,,
18:50:53,3.6,121,4,,,,
18:50:53,3.608,1,25,,,,
18:50:53,3.616,484,49,,,,
18:50:53,3.624,676,9,,,,
18:50:53,3.632,0,16,,,,
18:50:53,3.64,36,49,,,,
18:50:53,3.648,16,0,,,,
18:50:53,3.656,1,9,,,,
18:50:53,3.664,1,49,,,,
18:50:53,3.672,121,16,,,,
18:50:53,3.68,625,16,,,,
18:50:53,3.688,1600,25,,,,
18:50:53,3.696,2304,0,,,,
18:50:53,3.704,2401,324,,,,
18:50:53,3.712,900,225,,,,
18:50:53,3.72,225,0,,,,
18:50:53,3.728,576,36,,,,
18:50:53,3.736,196,81,,,,
18:50:53,3.744,9,25,,,,
18:50:53,3.752,36,16,,,,
18:50:53,3.76,196,36,,,,
18:50:53,3.768,900,324,,,,
18:50:53,3.776,1849,25,,,,
18:50:53,3.784,2116,4,,,,
18:50:53,3.792,2500,9,,,,
18:50:53,3.8,2116,9,,,,
18:50:53,3.808,576,16,,,,
